,Project_code,Unsuitable,Suitable,Bridge_classification,Crossing,Days_per_year_river_is_flooded,River_crossing_injuries_in_last_3_years,Cell_service_quality,4WD_Accessibility,Bridge_Type,Proposed_Bridge_Location(GPS)(Latitude),Proposed_Bridge_Location(GPS)(Longitude),Height_differential_between_banks,Estimated_span(m)
1112,1014070,0.9803473409204664,0.01965265907953357,Standard,timber,32.0,0.0,Fair,Year Round,Suspension,-2.154842,29.5107383,1.8,32.8
1113,1014071,0.06829431952474521,0.9317056804752548,Standard,timber,113.0,1.0,Nonexistent,Seasonally,Suspended,-2.20755,29.44008,10.0,38.0
1114,1014073,0.03602586571307819,0.9639741342869218,Standard,timber,128.0,3.0,Fair,Never,Suspended,-2.24952,29.38323,10.0,30.0
1115,1014074,0.3753968419622974,0.6246031580377026,Standard,timber,40.0,0.0,Fair,Seasonally,Suspended,-2.22396167,29.43661833,2.5,47.0
1116,1014077,0.036025865713078184,0.9639741342869218,Requires additional engineering,timber,121.0,2.0,Fair,Never,Suspended,-2.24468,29.40848,10.0,33.0
1117,1014078,0.036025865713078184,0.9639741342869218,Standard,timber,126.0,1.0,Fair,Never,Suspended,-2.23732,29.40253,10.0,32.0
1118,1014079,0.03602586571307819,0.9639741342869218,Standard,timber,98.0,0.0,Fair,Never,Suspended,-2.2414,29.39529,10.0,31.0
1119,1014080,0.27024296631449624,0.7297570336855037,Standard,timber,86.0,0.0,Fair,Never,Suspension,-2.11637,29.5875,10.0,33.0
1120,1014081,0.27024296631449624,0.7297570336855037,Standard,timber,116.0,0.0,Fair,Never,Suspension,-2.10922,29.59721,10.0,30.0
1121,1014084,0.014874859338318043,0.985125140661682,Standard,unknown,46.0,0.0,Good,Year Round,Suspended,-2.57067,29.02658,10.0,56.2
1122,1014085,0.015639661280589412,0.9843603387194105,Standard,timber,46.0,2.0,Good,Year Round,Suspended,-2.57161,29.03953,10.0,44.5
1123,1014086,0.014778473802944685,0.9852215261970553,Standard,timber,36.0,3.0,Good,Never,Suspended,-2.60327,29.0416,10.0,58.0
1124,1014087,0.01460949394125151,0.9853905060587484,Standard,none,56.0,2.0,Good,Never,Suspended,-2.59176,29.04348,10.0,62.0
1125,1014088,0.014609493941251507,0.9853905060587484,Standard,timber,46.0,2.0,Good,Never,Suspended,-2.59647,29.04596,10.0,60.0
1126,1014089,0.015354085862472095,0.9846459141375279,Standard,unknown,46.0,0.0,unknown,Year Round,Suspension,-2.5886,29.05452,10.0,43.0
1127,1014090,0.014076252774260506,0.9859237472257395,Standard,unknown,46.0,0.0,Good,Year Round,Suspended,-2.7023,29.00658,10.0,100.0
1128,1014092,0.015099515361920803,0.9849004846380792,Standard,timber,26.0,0.0,Good,Seasonally,Suspension,-2.5886,29.05452,10.0,38.0
1129,1014093,0.014722922502455901,0.9852770774975441,Standard,timber,365.0,0.0,Good,Never,Suspended,-2.5886,29.05452,10.0,35.0
1130,1014096,0.016462737255606843,0.9835372627443932,Standard,unknown,0.0,0.0,Good,Year Round,Suspended,-2.55317,28.99986,10.0,44.0
1131,1014097,0.015777953879245615,0.9842220461207544,Standard,none,36.0,0.0,Good,Never,Suspended,-2.5679,29.01254,10.0,42.0
1132,1014098,0.014618707920760298,0.9853812920792396,Standard,timber,46.0,0.0,Good,Never,Suspended,-2.57552,29.0818,10.0,60.0
1133,1014100,0.014199914540400826,0.9858000854595991,Standard,timber,46.0,0.0,Good,Never,Suspended,-2.56517,29.08278,10.0,67.2
1134,1014101,0.016786324957456144,0.9832136750425439,Standard,timber,365.0,2.0,Good,Never,Suspended,-2.50322,28.90339,10.0,77.0
1135,1014102,0.014468082236713104,0.9855319177632869,Standard,timber,36.0,0.0,Good,Year Round,Suspended,-2.56301,29.06172,10.0,64.0
1136,1014103,0.015589612314575821,0.9844103876854241,Standard,timber,365.0,0.0,Fair,Never,Suspended,-2.55734,29.0933,2.8,76.0
1137,1014105,0.022529531292948997,0.977470468707051,Standard,timber,0.0,0.0,Fair,Seasonally,Suspended,-2.42715,28.95369,0.6,42.0
1138,1014106,0.024037098236601568,0.9759629017633984,Standard,timber,14.0,0.0,Nonexistent,Never,Suspended,-2.42486,28.95726,0.0,30.0
1139,1014107,0.02392998517139152,0.9760700148286084,Standard,timber,14.0,0.0,Nonexistent,Never,Suspended,-2.42056,28.9662,0.4,30.0
1140,1014108,0.01891257098599294,0.981087429014007,Standard,timber,90.0,0.0,Fair,Never,Suspension,-2.41855,28.96946,0.2,38.0
1141,1014109,0.015099515361920803,0.9849004846380792,Standard,timber,30.0,0.0,Fair,Never,Suspended,-2.58868,29.11247,10.0,44.0
1142,1014112,0.3419207159100156,0.6580792840899844,unknown,unknown,46.0,0.0,unknown,Seasonally,unknown,-2.3557,29.11136,10.0,44.0
1143,1014113,0.06275943993252818,0.9372405600674718,Standard,timber,150.0,2.0,Good,Year Round,Suspension,-2.34996,29.11603,10.0,52.0
1144,1014114,0.33347633989638614,0.6665236601036139,unknown,unknown,46.0,0.0,Good,Seasonally,unknown,-2.3645,29.1246,10.0,44.0
1145,1014115,0.0035036805550787637,0.9964963194449213,unknown,unknown,46.0,0.0,Good,Seasonally,unknown,-2.73352,29.44932,10.0,44.0
1146,1014116,0.41626495974342037,0.5837350402565796,unknown,unknown,46.0,0.0,Good,Year Round,unknown,-2.34716,29.11627,10.0,44.0
1147,1014117,0.028297979742217795,0.9717020202577823,Standard,timber,150.0,0.0,Good,Seasonally,Suspension,-2.38842,29.16833,10.0,80.0
1148,1014120,0.10042714447709188,0.8995728555229082,Standard,timber,97.0,1.0,Good,Seasonally,Suspended,-2.38897,29.1315,10.0,44.0
1149,1014121,0.3818209533705431,0.618179046629457,Standard,timber,37.0,0.0,Fair,Never,Suspended,-2.34955,29.04256,10.0,28.0
1150,1014122,0.3716067022740891,0.6283932977259108,Standard,none,60.0,0.0,Good,Seasonally,Suspended,-2.33294045,29.02570225,10.0,47.0
1151,1014124,0.14441598929516805,0.8555840107048319,Standard,timber,120.0,1.0,Good,Seasonally,Suspended,-2.38012159,29.04157223,10.0,38.0
1152,1014125,0.030829692207462022,0.969170307792538,Standard,timber,60.0,0.0,Good,Seasonally,Suspended,-2.43036899,28.98131295,10.0,40.0
1153,1014126,0.025010563346469318,0.9749894366535308,Standard,timber,30.0,1.0,unknown,Seasonally,Suspended,-2.42782026,28.96789415,10.0,35.0
1154,1014131,0.016127302389518147,0.9838726976104819,Standard,timber,97.0,3.0,Good,Year Round,Suspended,-2.54704093,29.03581174,10.0,53.0
1155,1014137,0.06287052744936984,0.9371294725506302,Standard,timber,60.0,2.0,Good,Never,Suspended,-2.36102,29.14898,10.0,60.0
1156,1014139,0.018946608960594632,0.9810533910394054,Standard,timber,60.0,0.0,unknown,Never,Suspended,-2.46906,28.95562,10.0,57.0
1157,1014140,0.017638060770686692,0.9823619392293133,Standard,unknown,90.0,0.0,Fair,Seasonally,Suspended,-2.45575,28.97641,10.0,75.0
1158,1014142,0.01934053553578356,0.9806594644642165,Standard,timber,30.0,1.0,Good,Never,Suspended,-2.46169,28.96475,10.0,47.0
1159,1014143,0.022662116581193277,0.9773378834188068,Standard,timber,60.0,0.0,Fair,Never,Suspended,-2.44613,28.96986,10.0,50.0
1160,1014144,0.018150955897106483,0.9818490441028935,Standard,unknown,90.0,0.0,Fair,Seasonally,Suspended,-2.46402,28.95182,10.0,50.0
1161,1014148,0.024769684952581462,0.9752303150474185,Standard,timber,90.0,0.0,Fair,Seasonally,Suspended,-2.39624002,28.9969806,10.0,78.0
1162,1014154,0.01765484690932273,0.9823451530906773,Standard,timber,40.0,0.0,Fair,Never,Suspension,-2.43675,28.95227,10.0,64.0
1163,1014155,0.023577699078097477,0.9764223009219025,unknown,unknown,46.0,0.0,Fair,unknown,unknown,-2.44319,28.97635,10.0,44.0
1164,1014156,0.01945105509958798,0.980548944900412,Standard,timber,40.0,0.0,Fair,Seasonally,Suspended,-2.44926,28.95522,10.0,45.0
1165,1014159,0.37160670227408915,0.6283932977259109,unknown,unknown,46.0,0.0,Good,Never,unknown,-2.3441,29.11119,10.0,44.0
1166,1014161,0.2723690903146824,0.7276309096853176,Standard,timber,90.0,0.0,Good,Seasonally,Suspension,-2.34684,29.11432,10.0,50.0
1167,1014165,0.021101539949858254,0.9788984600501418,unknown,unknown,0.0,0.0,Fair,Seasonally,unknown,-2.4334,28.93374,10.0,44.0
1168,1014166,0.018936354199224605,0.9810636458007754,unknown,unknown,46.0,0.0,Fair,Seasonally,unknown,-2.44246,28.9333,10.0,44.0
1169,1014167,0.0145774202418734,0.9854225797581266,Standard,none,40.0,1.0,Fair,Never,Suspended,-2.58127,28.15265,10.0,100.0
1170,1014168,0.014199914540400824,0.9858000854595991,Standard,timber,31.0,0.0,Fair,Seasonally,Suspended,-2.57245,29.15343,10.0,65.0
1171,1014169,0.014201681582788641,0.9857983184172114,Standard,timber,64.0,0.0,Good,Never,Suspended,-2.58421,29.14232,10.0,74.0
1172,1014238,0.8334533373376743,0.1665466626623257,Requires additional engineering,none,0.0,0.0,unknown,unknown,Other,-1.94381,30.05001,10.0,10.0
