,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
1012956,1013492,1013349,1013489,1014077,1013305,1013878,1014324,1014079,1014066,1007380,1014078,1013390,1014073,1012956,1014076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012980,1012980,1013777,1013214,1013776,1012995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012983,1012480,1013311,1014167,1014102,1014087,1014086,1014099,1014023,1014098,1014091,1013989,1014088,1014094,1007661,1014025,1013474,1014022,1014024,1013216,1014093,1014084,1012983,1013992,1014283,1014095,1007662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012984,1012547,1007347,1014448,1013731,1013751,1007617,1010427,1013023,1012984,1007536,1007437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013011,1009707,1014129,1013507,1013599,1007420,1013640,1013011,1013794,1014059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013025,1014069,1014274,1007552,1007518,1013025,1013872,1014280,1013499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013029,1013029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013214,1012980,1013777,1013214,1013776,1012995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013220,1007590,1013218,1007520,1007555,1012986,1013718,1013703,1013387,1011310,1013748,1007539,1013220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013222,1013222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013225,1013493,1013729,1013656,1013225,1007381,1013807,1013753,1013684,1013653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013226,1013287,1013288,1010405,1014438,1007652,1013576,1013226,1007653,1007345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
